field,angle,ik,ikprime,qx,qy,qz,t2_raw,t2_smoothed
2.0,0,3,5,-0.036050656752339816,-0.4370909839889508,-5.2523530063869236e-17,0.0004995701851645231,0.0004995701851645231
2.0,0,3,6,6.938893903907228e-17,-0.4579048403693771,-5.5403331360647574e-17,0.00023491922772793695,0.00023491922772793695
2.0,0,3,7,5.551115123125783e-17,-0.4162771276085246,-5.036666487331597e-17,0.0001537151462287637,0.0001537151462287637
2.0,0,3,8,0.03605065675233991,-0.4370909839889508,-5.324646617009431e-17,4.0930777780651566e-05,4.093077778065157e-05
2.0,0,3,9,0.03605065675233991,-0.3954632712280984,-4.820979968276272e-17,2.07681739270442e-05,2.07681739270442e-05
2.0,0,3,10,-0.3605065675233988,-0.2497662765651147,-2.660531839286415e-17,6.077421522402434e-05,6.077421522402434e-05
2.0,0,3,11,-0.32445591077105884,-0.270580132945541,-2.9485119689642494e-17,0.00013009829322648935,0.00013009829322648935
2.0,0,3,12,-0.3605065675233988,-0.20813856380426216,-2.1568651905532542e-17,3.764090195758013e-05,3.764090195758013e-05
2.0,0,3,13,-0.32445591077105884,-0.22895242018468848,-2.4448453202310892e-17,5.521548415527017e-05,5.521548415527017e-05
2.0,0,3,14,-0.32445591077105884,-0.18732470742383606,-1.9411786714979303e-17,3.326825943411779e-22,3.326825943411779e-22
2.0,0,4,0,-0.07210131350467976,2.7755575615628914e-17,7.229361062250901e-19,0.17870759457217855,0.17870759457217855
2.0,0,4,1,-0.03605065675233987,-0.020813856380426182,-2.156865190553254e-18,0.45917593186707384,0.45917593186707384
2.0,0,4,2,0.0,-0.04162771276085242,-5.0366664873315954e-18,0.4452510063954614,0.44525100639546145
2.0,0,4,3,-0.036050656752339885,0.020813856380426238,2.8798012967783412e-18,0.441276830719713,0.441276830719713
2.0,0,4,4,0.0,0.0,0.0,0.6704052674154087,0.6704052674154087
2.0,0,4,5,-0.0721013135046797,-0.41627712760852453,-4.964372876709089e-17,4.071112163330692e-05,4.071112163330692e-05
2.0,0,4,6,-0.036050656752339816,-0.43709098398895085,-5.252353006386923e-17,0.00046252423234119865,0.00046252423234119865
2.0,0,4,7,-0.03605065675233983,-0.3954632712280983,-4.748686357653763e-17,4.060651582474104e-05,4.060651582474104e-05
2.0,0,4,8,2.7755575615628914e-17,-0.41627712760852453,-5.0366664873315966e-17,0.00015220960225191543,0.00015220960225191543
2.0,0,4,9,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,1.1799067879270593e-21,1.1799067879270593e-21
2.0,0,4,10,-0.3965572242757387,-0.22895242018468845,-2.3725517096085808e-17,5.2165240262438945e-05,5.2165240262438945e-05
2.0,0,4,11,-0.3605065675233987,-0.24976627656511477,-2.6605318392864153e-17,4.8103607925710894e-05,4.8103607925710894e-05
2.0,0,4,12,-0.3965572242757387,-0.18732470742383592,-1.86888506087542e-17,0.00021091548742118528,0.00021091548742118528
2.0,0,4,13,-0.3605065675233987,-0.20813856380426224,-2.156865190553255e-17,4.4536896847849344e-05,4.4536896847849344e-05
2.0,0,4,14,-0.3605065675233987,-0.16651085104340982,-1.6531985418200962e-17,7.282118253462907e-05,7.282118253462907e-05
